headine,image_url,authour,entry_date,description,newspaper_name,category,url
"Pictorial: Tinubu, Osinbajo, other South-West APC presidential aspirants on consensus",https://cdn.punchng.com/wp-content/uploads/2022/06/05061422/tinubu-and-osinbajo.jpg,Sodiq Oyeleke,5 June 2022,"The ruling All Progressives Congress presidential aspirants from the South-West and key stakeholders met in Abuja on Saturday.
",Punch Newspaper,Politics,https://punchng.com/pictorial-tinubu-osinbajo-other-south-west-apc-presidential-aspirants-on-consensus/
Lagos PDP aspirants seek fresh Assembly primaries,https://cdn.punchng.com/wp-content/uploads/2021/12/25105453/PDP-protest.jpg,Sodiq Oyeleke,5 June 2022,"The Peoples Democratic Party aspirants for Lagos State’s House of Assembly have called on the National Working Committee of the PDP to order fresh primaries just as it did for their House of Representatives counterparts.
",Punch Newspaper,Politics,https://punchng.com/lagos-pdp-aspirants-seek-fresh-assembly-primaries/
We won’t vote for presidential candidate above 55 years – Group,https://cdn.punchng.com/wp-content/uploads/2022/05/17012609/INEC-1.png,Godwin Isenyo,5 June 2022,"A group, Nigerian Youth Collective Action, has said that it won’t vote for any presidential candidate above the age of 55 years in the 2023 general election.
",Punch Newspaper,Politics,https://punchng.com/we-wont-vote-for-presidential-candidate-above-55-years-group/
"Shettima apologises for labelling Osinbajo ice-cream seller, Lawan tomato vendor",https://cdn.punchng.com/wp-content/uploads/2018/05/30132124/Borno-Governor-Kashim-Shettima.jpg,Adebayo Folorunsho-Francis,5 June 2022,"Former Governor of Borno State, Kashim Shettima, on Sunday morning apologised to Vice President Yemi Osinbajo and Senate President, Ahmad Lawan, saying he did not mean to denigrate them.
",Punch Newspaper,Politics,https://punchng.com/shettima-apologises-for-labelling-osinbajo-ice-cream-seller-lawan-tomato-vendor/
Makinde’s deputy dumps PDP for APC,https://cdn.punchng.com/wp-content/uploads/2022/06/04224131/OLANIYAN.jpg,Olufemi Olaniyi,5 June 2022,"Oyo State Deputy Governor, Rauf Olaniyan, on Sunday, announced that he had defected to the All Progressives Congress.
",Punch Newspaper,Politics,https://punchng.com/breaking-makindes-deputy-dumps-pdp-for-apc/
"2023: What Buhari told Tinubu, Osinbajo, other APC aspirants at Aso Villa",https://cdn.punchng.com/wp-content/uploads/2022/06/05011033/Buhari-APC-aspirants-2.jpg,Sodiq Oyeleke,5 June 2022,"The President Muhammadu Buhari Saturday night met with all the aspirants for President on the platform of All Progressives Congress, at State House, Abuja.
",Punch Newspaper,Politics,https://punchng.com/2023-what-buhari-told-tinubu-osinbajo-other-apc-aspirants-at-aso-villa/
"El-Rufai, Zulum, other Northern govs backing South are traitors –Coalition",https://cdn.punchng.com/wp-content/uploads/2019/10/18193339/El-rufai-and-Badaru.fw_.png,Adebayo Folorunsho-Francis,5 June 2022,"A regional group, Northern Interests Coalition, has faulted the 10 Northern governors of the All Progressives Congress who threw their weight behind power returning to the South in 2023.
",Punch Newspaper,Politics,https://punchng.com/el-rufai-zulum-other-northern-govs-backing-south-are-traitors-coalition/
Umahi hasn’t stepped down from presidential race -Campaign group,https://cdn.punchng.com/wp-content/uploads/2022/03/20031149/Umahi.jpg,Sodiq Oyeleke,5 June 2022,"Governor Dave Umahi of Ebonyi State has debunked reports that he had stepped down from the presidential race
",Punch Newspaper,Politics,https://punchng.com/umahi-hasnt-stepped-down-from-presidential-race-campaign-group/
"How Fayose lured me into governorship race, abandoned me – Ex-deputy gov, Eleka",https://cdn.punchng.com/wp-content/uploads/2022/06/05042556/ELEKA.jpg,Abiodun Nejo,5 June 2022,"
",Punch Newspaper,Politics,https://punchng.com/how-fayose-lured-me-into-governorship-race-abandoned-me-ex-deputy-gov-eleka/
PDP gov candidates to receive certificates of return Tuesday,https://cdn.punchng.com/wp-content/uploads/2022/05/22172701/PDPlogo.jpeg,Victoria Edeme,5 June 2022,"The National Working Committee of the Peoples Democratic Party has announced that the presentation of certificates of return to the party’s governorship candidates will hold on Tuesday.
",Punch Newspaper,Politics,https://punchng.com/pdp-gov-candidates-to-receive-certificates-of-return-tuesday/
Ondo attack: Police deploy anti-bomb squad,https://cdn.punchng.com/wp-content/uploads/2022/01/15134917/Ondo-CP-Oyeyemi-Oyediran-.jpg,Sodiq Oyeleke,5 June 2022,"The Commissioner of Police in Ondo State, Mr Oyeyemi Oyediran, has deployed officers of the Explosive Ordinance Device Unit (anti-bomb squad) to the scene of the attack in Owo Local Government Area of the state.
",Punch Newspaper,Politics,https://punchng.com/ondo-attack-police-deploy-anti-bomb-squad/
"Only God knows why Fayose dumped Eleka to back me –Kolawole, Ekiti PDP gov candidate",https://cdn.punchng.com/wp-content/uploads/2022/06/04214322/KOLAWOLE.jpg,Abiodun Nejo,5 June 2022,"
",Punch Newspaper,Politics,https://punchng.com/only-god-knows-why-fayose-dumped-eleka-to-back-me-kolawole-ekiti-pdp-gov-candidate/
